English1,English2
It was the first time in my life that I had ever seen such a tremendous typhoon.,This is the worst typhoon I’ve experienced.
The minister was obliged to retract his previous statement.,The minister had to admit that what he said was wrong.
It's rare to find a person who doesn't feel a little love for his hometown.,Most people love their hometown.
"It's been a long time since we've had such nice weather, said a local resident.",The local people said that it was the most beautiful day for years.
Only after losing her did I realize that there are some things that money can't buy.,I had thought I could buy anything with money until I lost her.
Last night I was so absorbed in that detective novel that I stayed up until 2 a.m. I'm wearing glasses now.,That detective story was so good I couldn't put it down until two this morning.
"I don't have my glasses on now, so I don't know what that sign says.","I'm not wearing glasses now, so I can't make out what the sign says."
Different people have different ideas. You never know who has what hobby.,Different people like different things. You can't tell what someone is interested in.
It's better to keep that a secret.,You should leave it unsaid.
Living in Canada was not as expensive as I thought it would be.,Living in Canada was not as expensive as I thought it would be.
"Generally speaking, people become more and more generous as they get older.","Generally speaking, the older people get, he more broad-minded they become."
"According to the weather forecast, the typhoon will approach the Kyushu region around midnight this evening.",The weather repot says that the typhoon is going to hit the Kyusyu area around midnight.
It's been 20 years since we've had such heavy snowfall.,This is the heaviest snowfall we’ve had for the past twenty years.
I went home the other day for the first time in 20 years.,I went back to my hometown for the first time in twenty years the other day.
It's only when you go abroad that you realize how much neon lights there are in Japan's big cities.,It is not until you go abroad that you realize how many neon lighs there are in big Japanese cities.
"This Sunday, if the weather is good, why don't we go hiking in Okutama?",How would you like to go hiking in Okutama next Sunday if the weather is nice.
"It's raining heavily outside, so you might want to stay here for a while longer.",It’s pouring down outside. I think it would be better to stay here a little longer.
I went to Enoshima Island for swimming the summer before last.,I went swimming in Enoshima the summer before last.
Your success in college will depend on the amount of study you do over the next year.,Whether you pass the university entrance exam or not will depend on how much work you do over the coming year.
"The reason why I came here is to do some research, not to spend a holiday.","I’ve come here to make a survey, not to spend my vacation."
I walked softly so that the baby would not wake up.,I crept around so as not to wake up the baby.
Not all cheap sales are in the best interest of the consumer.,Not all bargains mean saving for the consumers.
The bride and groom are leaving for their honeymoon on the 5:30 express.,the bride and groom are leaving on their honeymoon on the 5:30 express.
"In the last two months, the cabinet's approval rating has skyrocketed.",The approval rating for the Cabinet has been rising sharply for the last two months.
The majority of Japanese high school students go to cram schools to prepare for college entrance exams.,Most Japanese high school students go to a cram school to prepare for college entrance exams.
There has been more snow than usual this winter.,We’ve had more snow than usual this winter.
There is no other prefecture in Japan with such a high concentration of US military bases as Okinawa.,Nowhere in Japan are there as many U.S. military bases as in Okinawa.
"Trains and buses were packed, and I was on my feet the whole time.","Both the train and the bus were jam-packed, so I had to stand all the way."
Can you tell me if the 9:00 a.m. bullet train will stop at Shizuoka?,Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?
"If I had hurried last night, I would have made it to the last train.","If I had hurried last night, I could have caught the last train.
"
"Thanks to the appreciation of the yen, it has become cheaper to travel abroad these days.","Thanks to the strong yen, we can travel abroad for less money these days."
"Of the many books I have read, none have impressed me as much as the novel I have just finished reading.",The novel I've just finished is the best one I've ever read.
To think that school is a place where only learning is taught is proof that you do not understand the role of school.,"If you expect that schools only teach academic subjects, then this proves that you don't understand what schools are for."
Bob had changed so much that I didn't recognize him when I saw him in class last time.,"Bob had changed a lot, so when I saw him at a class reunion, I dind't recognize him."
Just because people are reading fewer books doesn't mean that today's youth have less intellectual appetite.,"Just because young people today read less than they used to, it doesn't always follow that they are less eager to learn."
An old lady sitting next to me on the train asked me how far I was going.,An elderly woman sitting next to me on the train asked me where I was going.
"She replied, ""To read a book, you have to actively use your imagination.","If you want to get the most out of book, you have to make a conscious effor to stretch your imagination."
"When we arrived at the airport, the plane had already taken off.","When we got to the airport, the airplane had already left."
"It takes a whole day to go from Tokyo to Osaka by car, but only an hour by plane.","It would take a whole day to get to Osaka from Tokyo by car, but only an hour by plane."
Professional baseball is a hundred times more interesting to watch at the stadium than on TV.,Professional baseball is far more exciting at a stadium than in TV.
"During my trip to Europe, I was fed up with meeting so many Japanese tourists in every country I went to.","While traveling in Europe,I was disappointed that wherever I went, there were many Japanese tourists."
"Tom has a great drum, but he won't let anyone use it.","Tom has nice drums, and he never lets anyone else play them."
Seven out of ten young people in Japan are said to have no religion at all.,It is said that seven out of ten young Japanse people don't believe in religion.
It never occurred to me that my remark would hurt her.,It never occurred to me that my remark might hurt her feelings.
I was shocked to see a kindergartener being hit by a truck at the intersection of this street.,I was shocked at how a small child was run over by a truck at this corner.
Some Japanese tourists insanely carry large amounts of cash in the back pockets of their pants.,Some Japanese tourists lack common sense and carry a lot of cash in their backpockets.
"When I was a kid, I used to wish my house was a bit bigger.","When I was a child, I often wished my house were a little larger."
Can you give me a hand carrying this box?,Could you give me a hand with this box?
I always take a half an hour walk before breakfast.,I always go for a walk for about half an hour before breakfast.
"When I arrived at my destination, I was exhausted.",I was tired out by the time I got to my destination.
"Tom insisted that all would be well, but I was worried.","Tom insisted that everythig would be all right, but I couldn't help feeling worried."
"Thanks to the map I had drawn the other day, I was able to get here without getting lost.","Thanks to the map you drew me the other day, I managed to get here without getting lost."
"When I was a teenager, I had lived in Canada for three years because of my father's work.",I lived in Canada for three years when I was in my teens because my father was transferred there.
"These days, many people do most of their errands on their cell phones.",Nowadays many people get almost everything done by using their cellphones.
Washing your hands carefully is the best way to stop the spread of germs.,The best way to prevent the spread of germs is to wash your hands thoroughly.
"By the time a person is 5~6 years old, they have the ability to express their thoughts.",Humans learn to express what they think by the age of five or six.
"No matter how much you exercise, you can't lose weight if you haven't calculated your calories.","However much exercise you get, you won't lose weight unless you count your calories."
The bus was 20 minutes late because the roads were crowded.,"The traffic was heavy, so my bus came twenty minutes late."
"If he stays home from school, he is sure to get over his cold within a few days.","If he stays home from school for a few days, he will get over his cold."
"There are countries in the world where there is a surplus of food, and countries where tens of thousands of children are starving to death.","In some countries people have too much food, while in others tens of thousands of children are starving."
The increase of CO2 in the atmosphere is closely related to global warming.,The increase in the amout of CO2 in the atomosphere is closely connected with global warming.
I was very happy to see my mother going to work wearing the earrings I gave her.,I was very happy when I saw my mother going to work wearing the earrings I had bought her.
It is dangerous to drive a car with two bottles of whiskey empty.,It would be dangerous to drink two bottles of whiskey and drive a car.
"I finished reading the novel I borrowed from the library yesterday, so now I have nothing to do.","I've finished reading the novel I borrowed from the library yesterday, so now I have nothing to do."
I'm very sleepy since I stayed up until four o'clock yesterday to prepare for math.,"I stayed up till four last night preparing for the math lesson, so I feel very sleepy."
"If I had the money, I would stay another night.","If I had more money, I could stay one more night."
"I made the mistake of being late to Ann, but she didn't forgive me.","I apologized to Ann for being late, but she didn't forgive me."
It has been raining on and off for almost two weeks now since the start of the rainy season.,"Since the rainy season set in, it has been raining off and on for nearly two weeks."
I want to work as a volunteer to help victims of floods and earthquakes.,"I'd like to work as a volunteer helping victims of natural disasters, such as floods or earthquakes."
It is unpredictable when and where a major earthquake will strike.,It is impossible to predict where and when there will be a major earthquake.
The fire department arrived half an hour after the fire broke out.,The fire brigade arrived 30 minutes after the fire broke out.
"We are living in a hotel for the time being, but will eventually find an apartment.","We are living in a hotel for the time being, but we are going to find an apartment pretty soon."
Japanese people usually express their feelings as indirectly as possible so as not to hurt others.,Japansse people usually express their feelings as indirectly as possible so that they won't offend others.
I am very busy with housework every day and have no time to go see a movie.,I'm so busy doing the housework every day that I have no time to see a movie.
"In this region, the cherry blossoms bloom at the end of March and reach full bloom in early April.","In this area, the cherry blossoms come out around the end of March, and they are at their best in early April."
"I haven't decided yet, but I am thinking about quitting my job.","I have not made up my mind yet, but I’m thinking of leaving the company."
Some of the students who come to the library act as if they are in a coffee shop.,Some students coming to the library act as if they are in a coffee shop.
This bike costs roughly twice as much in the UK as it does in Japan.,This motorbike is about twice as expensive in the U.K as in Japan.
What is the first thing you do when you wake up in the morning?,What is the first thing you do after you get up?
"With the spread of the Internet, the sales of computers have been growing rapidly in the past few years.","The Internet is widely used, so sales of personal computers have been rapidly increasing over the last few years. "
"Frankly speaking, the entrance exam I took yesterday was much harder than I thought it would be.","Frankly speaking, the entrance exams I took yesterday were far more difficult than I had expected."
"I have been driving a car for almost 30 years now, and fortunately I have never been in an accident.","I have been driving for almost thirty years, but fortunately I have never had an accident."
"When I got on the train this morning, I couldn't find an empty seat.","When I got on the train this morning, I couldn't find an empty seat."
The secret to staying healthy is to eat a balanced diet and exercise regularly.,"In order to stay healthy, you should have a balanced diet and get regular exercise."
This song always reminds me of our days in New York.,"When I hear this song, I’m always reminded of the days when we lived in New York."
This wooden desk is too heavy for me to carry upstairs by myself.,This wooden desk is too heavy for me to carry upstairs alone.
"I've been waiting for him since this morning, but he hasn't shown up yet.","I’ve been waiting since this morning, but he still hasn’t come."
There is nothing more beautiful than a mother's love for her child.,Nothing is as beautiful as a mother’s love for her children.
The weather is changeable these days.,These days the weather is changeable. 
We must not forget that reading is part of our cultural heritage that we must pass on to our children.,We should bear in mind that reading is a part of our cultural heritage that we must hand down to our children.
The weather in Tokyo is much milder than in my hometown.,The climate in Tokyo is much milder than that in my hometown.
I have decided to look for a job abroad after I graduate from college.,I've decided to look for a job abroad when I graduate from college.
"At first I thought Tom was joking, but later I realized he was serious.","At first I thought Tom was joking, but later I realized he was serious."
"It's a pity that many Japanese people mistakenly believe that as long as they can speak English, they can become a cosmopolitan.",It is a pity that many Japanese people mistakenly believe that they have only to speak English to be internationally-minded.
"While I was shopping at that store, I met an old friend of mine, Jim.","I was shopping I ran into Jim, an old friend of mine."
The number of foreign tourists visiting Japan is increasing every year.,Every year more and more foreign tourists are visiting Japan.
"This past Sunday, I tried Italian cooking for the first time in my life, and it turned out to be very delicious.","Last Sunday I tried making some Italian food for the first time, and it was delicious. "
Mr. White worked very hard to support his family of four.,Mr. White worked hard to support a family of four.
"If he had been on that train, he would have been involved in an accident.","If he had been on the train, he would have been in the accident."
Most Japanese people spend most of their time working to live.,Most Japanese people spend most of their time working to live.
